OBJECTID,Subdistrict,Diameter,Bursts_Count,Length_M,Bursts per M,Pressure Avg,CNXDensity Avg,Soil_Type ,Soil_Code,Soil_RiskNew,Era,Era_Code,Era_Risk,Material,Material,Mat_Risk,Mat_Code,Rain_YrAvg,DryMthAvg,WetMthAvg,Landuse,Landuse_Code,Landuse_Dummy,Location
1,Airy Cot,1.00000000000,0,416.55600000000,0.00000000000,33.76500000000,0.00000000000,Scotland District Soils,O,6,Unknown,E,5,Galvanized iron,G,2,I,1548.36788236000,85.2576278,170.8188383,Rural,R,0,W
2,Airy Cot,3.00000000000,0,416.55600000000,0.00000000000,33.76500000000,0.00000000000,Scotland District Soils,O,6,Unknown,E,5,Galvanized iron,G,2,I,1548.36788236000,85.2576278,170.8188383,Rural,R,0,W
3,Airy Cot,6.00000000000,0,416.55600000000,0.00000000000,33.76500000000,0.00000000000,Scotland District Soils,O,6,Unknown,E,5,Galvanized iron,G,2,I,1548.36788236000,85.2576278,170.8188383,Rural,R,0,W
4,Airy Hill,2.00000000000,1,22.49900000000,0.04400000000,22.92400000000,0.00000000000,Smectoid Clay,M,5,Unknown,E,5,Unknown,U,6,U,1526.24295529000,86.1132470,170.5021961,Urban,U,1,W
5,Airy Hill,3.00000000000,1,22.49900000000,0.04400000000,22.92400000000,0.00000000000,Smectoid Clay,M,5,Unknown,E,5,Unknown,U,6,U,1526.24295529000,86.1132470,170.5021961,Urban,U,1,W
6,Airy Hill,4.00000000000,1,22.49900000000,0.04400000000,22.92400000000,0.00000000000,Smectoid Clay,M,5,Unknown,E,5,Unknown,U,6,U,1526.24295529000,86.1132470,170.5021961,Urban,U,1,W
7,Airy Hill,5.00000000000,1,22.49900000000,0.04400000000,22.92400000000,0.00000000000,Smectoid Clay,M,5,Unknown,E,5,Unknown,U,6,U,1526.24295529000,86.1132470,170.5021961,Urban,U,1,W
8,Airy Hill,6.00000000000,1,22.49900000000,0.04400000000,22.92400000000,0.00000000000,Smectoid Clay,M,5,Unknown,E,5,Unknown,U,6,U,1526.24295529000,86.1132470,170.5021961,Urban,U,1,W
9,Airy Hill,10.00000000000,1,22.49900000000,0.04400000000,22.92400000000,0.00000000000,Smectoid Clay,M,5,Unknown,E,5,Unknown,U,6,U,1526.24295529000,86.1132470,170.5021961,Urban,U,1,W
10,Airy Hill North,4.00000000000,3,780.81000000000,0.00400000000,55.22000000000,1.46200000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1609.43772961000,90.2601598,172.5195105,Urban,U,1,E
11,Airy Hill North,8.00000000000,3,780.81000000000,0.00400000000,55.22000000000,1.46200000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1609.43772961000,90.2601598,172.5195105,Urban,U,1,E
12,Alexandra,3.00000000000,1,2058.86800000000,0.00000000000,53.03000000000,0.00000000000,Smectoid Clay,M,5,1860-1969,D,4,CIP,C,4,I,1436.53902825000,72.9519857,161.0992642,Rural,R,0,N
13,Alexandra,4.00000000000,1,2058.86800000000,0.00000000000,53.03000000000,0.00000000000,Smectoid Clay,M,5,1860-1969,D,4,CIP,C,4,I,1436.53902825000,72.9519857,161.0992642,Rural,R,0,N
14,Alexandra,8.00000000000,1,2058.86800000000,0.00000000000,53.03000000000,0.00000000000,Smectoid Clay,M,5,1860-1969,D,4,CIP,C,4,I,1436.53902825000,72.9519857,161.0992642,Rural,R,0,N
15,Alleynedale,4.00000000000,2,364.79900000000,0.00500000000,51.20800000000,0.00000000000,Smectoid Clay,M,5,1970-1996,B,2,DIP,D,3,I,1461.28158951000,75.5092709,164.3772569,Rural,R,0,N
16,Alleynedale,6.00000000000,2,364.79900000000,0.00500000000,51.20800000000,0.00000000000,Smectoid Clay,M,5,1970-1996,B,2,DIP,D,3,I,1461.28158951000,75.5092709,164.3772569,Rural,R,0,N
17,Alleynedale Hall,6.00000000000,0,1145.90100000000,0.00000000000,97.78800000000,0.00000000000,Sandy Soils,S,1,1970-1996,B,2,DIP,D,3,I,1494.78326971000,77.4415155,166.1957349,Rural,R,0,N
18,Allmans,4.00000000000,0,1262.42900000000,0.00000000000,42.08300000000,0.00000000000,Sandy Soils,S,1,1970-1996,B,2,DIP,D,3,I,1489.36300374000,76.9236696,165.7824835,Rural,R,0,N
19,Allmans,8.00000000000,0,1262.42900000000,0.00000000000,42.08300000000,0.00000000000,Sandy Soils,S,1,1970-1996,B,2,DIP,D,3,I,1489.36300374000,76.9236696,165.7824835,Rural,R,0,N
20,Allmans,10.00000000000,0,1262.42900000000,0.00000000000,42.08300000000,0.00000000000,Sandy Soils,S,1,1970-1996,B,2,DIP,D,3,I,1489.36300374000,76.9236696,165.7824835,Rural,R,0,N
21,Allmans,12.00000000000,0,1262.42900000000,0.00000000000,42.08300000000,0.00000000000,Sandy Soils,S,1,1970-1996,B,2,DIP,D,3,I,1489.36300374000,76.9236696,165.7824835,Rural,R,0,N
22,Andrews Factory,4.00000000000,0,1173.53100000000,0.00000000000,100.73400000000,0.00000000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1573.05566708000,89.2257568,171.2585175,Rural,R,0,E
23,Andrews Factory,5.00000000000,0,1173.53100000000,0.00000000000,100.73400000000,0.00000000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1573.05566708000,89.2257568,171.2585175,Rural,R,0,E
24,Andrews Factory,8.00000000000,0,1173.53100000000,0.00000000000,100.73400000000,0.00000000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1573.05566708000,89.2257568,171.2585175,Rural,R,0,E
25,Andrews Factory,9.00000000000,0,1173.53100000000,0.00000000000,100.73400000000,0.00000000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1573.05566708000,89.2257568,171.2585175,Rural,R,0,E
26,Andrews Factory,12.00000000000,0,1173.53100000000,0.00000000000,100.73400000000,0.00000000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1573.05566708000,89.2257568,171.2585175,Rural,R,0,E
27,Andrews Plantation,4.00000000000,0,1119.73700000000,0.00000000000,160.69100000000,0.00000000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1548.32465617000,88.8652967,170.9654325,Rural,R,0,E
28,Andrews Plantation,12.00000000000,0,1119.73700000000,0.00000000000,160.69100000000,0.00000000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1548.32465617000,88.8652967,170.9654325,Rural,R,0,E
29,Andrews Tenantry,3.00000000000,4,13.78600000000,0.29000000000,-1.00000000000,0.00000000000,Kandoid Clay,K,3,1860-1969,D,4,CIP,C,4,I,1609.59812128000,90.2037953,172.1976562,Rural,R,0,E
30,Andrews Tenantry,4.00000000000,4,13.78600000000,0.29000000000,-1.00000000000,0.00000000000,Kandoid Clay,K,3,1860-1969,D,4,CIP,C,4,I,1609.59812128000,90.2037953,172.1976562,Rural,R,0,E
31,Andrews Tenantry,5.00000000000,4,13.78600000000,0.29000000000,-1.00000000000,0.00000000000,Kandoid Clay,K,3,1860-1969,D,4,CIP,C,4,I,1609.59812128000,90.2037953,172.1976562,Rural,R,0,E
32,Andrews Tenantry,6.00000000000,4,13.78600000000,0.29000000000,-1.00000000000,0.00000000000,Kandoid Clay,K,3,1860-1969,D,4,CIP,C,4,I,1609.59812128000,90.2037953,172.1976562,Rural,R,0,E
33,Andrews Tenantry,8.00000000000,4,13.78600000000,0.29000000000,-1.00000000000,0.00000000000,Kandoid Clay,K,3,1860-1969,D,4,CIP,C,4,I,1609.59812128000,90.2037953,172.1976562,Rural,R,0,E
34,Andrews Tenantry,9.00000000000,4,13.78600000000,0.29000000000,-1.00000000000,0.00000000000,Kandoid Clay,K,3,1860-1969,D,4,CIP,C,4,I,1609.59812128000,90.2037953,172.1976562,Rural,R,0,E
35,Andrews Tenantry,12.00000000000,4,13.78600000000,0.29000000000,-1.00000000000,0.00000000000,Kandoid Clay,K,3,1860-1969,D,4,CIP,C,4,I,1609.59812128000,90.2037953,172.1976562,Rural,R,0,E
36,Apes Hill,2.00000000000,4,675.23100000000,0.00600000000,25.83900000000,0.21100000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1526.82922642000,83.4064047,170.1023183,Rural,R,0,N
37,Apes Hill,3.00000000000,4,675.23100000000,0.00600000000,25.83900000000,0.21100000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1526.82922642000,83.4064047,170.1023183,Rural,R,0,N
38,Apes Hill,4.00000000000,4,675.23100000000,0.00600000000,25.83900000000,0.21100000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1526.82922642000,83.4064047,170.1023183,Rural,R,0,N
39,Apes Hill,6.00000000000,4,675.23100000000,0.00600000000,25.83900000000,0.21100000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1526.82922642000,83.4064047,170.1023183,Rural,R,0,N
40,Apes Hill,10.00000000000,4,675.23100000000,0.00600000000,25.83900000000,0.21100000000,Kandoid Clay,K,3,1970-1996,B,2,DIP,D,3,I,1526.82922642000,83.4064047,170.1023183,Rural,R,0,N
41,Apple Hall,3.00000000000,0,523.59100000000,0.00000000000,19.73000000000,0.00000000000,Shallow Soils,H,2,1860-1969,D,4,CIP,C,4,I,1342.83023034000,68.4787486,150.5731307,Urban,U,1,S
