OBJECTID,Subdistric,Diameter,Bursts_Cou,Length_M,Bursts_per,Pressure_A,CNXDensity,Soil_Type,Soil_Code,Soil_RiskN,Era,Era_Code,Era_Risk,Material,Material_1,Mat_Risk,Mat_Code,Rain_YrAvg,DryMthAvg,WetMthAvg,Landuse,Landuse_Co,Landuse_Du,Location,rain_15yravg,rain_30yravg,rcp26_2035,rcp26_2050,rcp45_2035,rcp45_2050,rcp85_2035,rcp85_2050
1,Airy Cot,1,0,416.556,0,33.765,0,Scotland District Soils,O,6,Unknown,E,5,G,G,2,I,1548.36788236,85.2576278,170.8188383,Rural,R,0,W,106.84584030450559,136.82724956437653,117.84090722775927,144.89368184407553,179.31270195456113,128.52963376512716,171.8684668447457,123.29689743939568
2,Airy Cot,3,0,416.556,0,33.765,0,Scotland District Soils,O,6,Unknown,E,5,G,G,2,I,1548.36788236,85.2576278,170.8188383,Rural,R,0,W,109.13634215808305,136.5197326159868,117.9281102164847,145.03706985223488,179.44251138655866,128.65350366811282,172.0993577300525,123.46021408331198
3,Airy Cot,6,0,416.556,0,33.765,0,Scotland District Soils,O,6,Unknown,E,5,G,G,2,I,1548.36788236,85.2576278,170.8188383,Rural,R,0,W,105.84963709513346,137.3581573486328,117.21371320088704,144.07071787516276,178.36249974568685,127.80378850301106,170.86797002156575,122.57643178304036
4,Airy Hill,2,1,22.499,0.044,22.924,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1526.24295529,86.113247,170.5021961,Urban,U,1,W,139.76482238769532,128.12456970214845,107.89054565429687,132.68191528320312,163.53510131835938,118.15589904785156,157.65440063476564,113.16565399169922
5,Airy Hill,3,1,22.499,0.044,22.924,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1526.24295529,86.113247,170.5021961,Urban,U,1,W,140.40957260131836,128.06211280822754,107.19441668192546,131.82480239868164,162.479855855306,117.38125101725261,156.6321029663086,112.4240837097168
6,Airy Hill,4,1,22.499,0.044,22.924,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1526.24295529,86.113247,170.5021961,Urban,U,1,W,137.30515023936397,128.48189710534137,106.27328706824261,130.53901639192,160.9457208384638,116.32326424640158,155.24187137769616,111.40633773803711
7,Airy Hill,5,1,22.499,0.044,22.924,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1526.24295529,86.113247,170.5021961,Urban,U,1,W,132.54483604431152,129.1471939086914,106.94748020172119,131.2884349822998,161.95586967468262,117.0023603439331,156.1384563446045,112.03954219818115
8,Airy Hill,6,1,22.499,0.044,22.924,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1526.24295529,86.113247,170.5021961,Urban,U,1,W,146.40257850060095,127.0023416372446,107.61390920785757,132.82977999173679,163.60624225323016,117.90251335730919,157.3076911339393,112.93336193378155
9,Airy Hill,10,1,22.499,0.044,22.924,0,Smectoid Clay,M,5,Unknown,E,5,U,U,6,U,1526.24295529,86.113247,170.5021961,Urban,U,1,W,135.0783233642578,128.8374481201172,106.2911376953125,130.4863739013672,160.91163635253906,116.3191146850586,155.2403106689453,111.39779663085937
10,Airy Hill North,4,3,780.81,0.004,55.22,1.462,Kandoid Clay,K,3,1970-1996,B,2,D,D,3,I,1609.43772961,90.2601598,172.5195105,Urban,U,1,E,164.5198080444336,137.81108520507811,102.54764038085938,125.43708847045899,156.16306732177733,111.17771118164063,148.33106628417968,106.16209381103516
